 CUSTNO ,XCOORD,YCOORD,DEMAND,READYTIME,DUETIME,SERVICETIME,CAPACITY
1,40,50,0,0,1236,0,200
2,45,68,10,850,1030,90,
3,45,70,30,758,938,90,
4,42,66,10,16,196,90,
5,42,68,10,665,845,90,
6,42,65,10,15,195,90,
7,40,69,20,572,752,90,
8,40,66,20,108,288,90,
9,38,68,20,200,380,90,
10,38,70,10,480,660,90,
11,35,66,10,294,474,90,
12,35,69,10,387,567,90,
13,25,85,20,597,777,90,
14,22,75,30,30,210,90,
15,22,85,10,504,684,90,
16,20,80,40,317,497,90,
17,20,85,40,412,592,90,
18,18,75,20,34,214,90,
19,15,75,20,127,307,90,
20,15,80,10,222,402,90,
21,30,50,10,10,190,90,
22,30,52,20,850,1030,90,
23,28,52,20,758,938,90,
24,28,55,10,665,845,90,
25,25,50,10,15,195,90,
26,25,52,40,107,287,90,
27,25,55,10,572,752,90,
28,23,52,10,199,379,90,
29,23,55,20,480,660,90,
30,20,50,10,292,472,90,
31,20,55,10,387,567,90,
32,10,35,20,129,309,90,
33,10,40,30,31,211,90,
34,8,40,40,33,213,90,
35,8,45,20,694,874,90,
36,5,35,10,224,404,90,
37,5,45,10,601,781,90,
38,2,40,20,319,499,90,
39,0,40,30,411,591,90,
40,0,45,20,506,686,90,
41,35,30,10,203,383,90,
42,35,32,10,111,291,90,
43,33,32,20,19,199,90,
44,33,35,10,16,196,90,
45,32,30,10,296,476,90,
46,30,30,10,481,661,90,
47,30,32,30,389,569,90,
48,30,35,10,947,1127,90,
49,28,30,10,573,753,90,
50,28,35,10,944,1124,90,
51,26,32,10,758,938,90,
52,25,30,10,666,846,90,
53,25,35,10,851,1031,90,
54,44,5,20,227,407,90,
55,42,10,40,132,312,90,
56,42,15,10,37,217,90,
57,40,5,30,321,501,90,
58,40,15,40,35,215,90,
59,38,5,30,413,593,90,
60,38,15,10,606,786,90,
61,35,5,20,506,686,90,
62,50,30,10,481,661,90,
63,50,35,20,200,380,90,
64,50,40,50,105,285,90,
65,48,30,10,573,753,90,
66,48,40,10,13,193,90,
67,47,35,10,761,941,90,
68,47,40,10,12,192,90,
69,45,30,10,666,846,90,
70,45,35,10,853,1033,90,
71,95,30,30,332,512,90,
72,95,35,20,237,417,90,
73,53,30,10,388,568,90,
74,92,30,10,425,605,90,
75,53,35,50,293,473,90,
76,45,65,20,943,1123,90,
77,90,35,10,142,322,90,
78,88,30,10,519,699,90,
79,88,35,20,50,230,90,
80,87,30,10,610,790,90,
81,85,25,10,705,885,90,
82,85,35,30,47,227,90,
83,75,55,20,305,485,90,
84,72,55,10,212,392,90,
85,70,58,20,401,581,90,
86,68,60,30,494,674,90,
87,66,55,10,116,296,90,
88,65,55,20,25,205,90,
89,65,60,30,587,767,90,
90,63,58,10,680,860,90,
91,60,55,10,20,200,90,
92,60,60,10,773,953,90,
93,67,85,20,315,495,90,
94,65,85,40,407,587,90,
95,65,82,10,221,401,90,
96,62,80,30,128,308,90,
97,60,80,10,36,216,90,
98,60,85,30,502,682,90,
99,58,75,20,30,210,90,
100,55,80,10,692,872,90,
101,55,85,20,597,777,90,
