 CUSTNO ,XCOORD,YCOORD,DEMAND,READYTIME,DUETIME,SERVICETIME,CAPACITY
1,40,50,0,0,240,0,200
2,25,85,20,49,191,10,
3,22,75,30,30,168,10,
4,22,85,10,95,152,10,
5,20,80,40,69,193,10,
6,20,85,20,40,189,10,
7,18,75,20,60,159,10,
8,15,75,20,54,133,10,
9,15,80,10,67,144,10,
10,10,35,20,57,154,10,
11,10,40,30,106,161,10,
12,8,40,40,33,152,10,
13,8,45,20,32,148,10,
14,5,35,10,53,191,10,
15,5,45,10,35,194,10,
16,2,40,20,39,163,10,
17,0,40,20,41,141,10,
18,0,45,20,51,189,10,
19,44,5,20,73,130,10,
20,42,10,40,40,148,10,
21,42,15,10,94,179,10,
22,40,5,10,45,161,10,
23,40,15,40,64,149,10,
24,38,5,30,45,164,10,
25,38,15,10,51,194,10,
26,35,5,20,45,183,10,
27,95,30,30,90,169,10,
28,95,35,20,57,172,10,
29,92,30,10,55,174,10,
30,90,35,10,52,174,10,
31,88,30,10,52,147,10,
32,88,35,20,50,172,10,
33,87,30,10,61,178,10,
34,85,25,10,51,178,10,
35,85,35,30,83,168,10,
36,67,85,20,57,185,10,
37,65,85,40,43,186,10,
38,65,82,10,95,182,10,
39,62,80,30,38,141,10,
40,60,80,10,36,193,10,
41,60,85,30,61,138,10,
42,58,75,20,49,164,10,
43,55,80,10,33,180,10,
44,55,85,20,100,185,10,
45,55,82,10,35,142,10,
46,20,82,10,37,192,10,
47,18,80,10,71,184,10,
48,2,45,10,38,191,10,
49,42,5,10,50,184,10,
50,42,12,10,99,138,10,
51,72,35,30,83,178,10,
52,55,20,19,45,150,10,
53,25,30,3,25,150,10,
54,20,50,5,68,143,10,
55,55,60,16,107,200,10,
56,30,60,16,95,214,10,
57,50,35,19,91,198,10,
58,30,25,23,56,165,10,
59,15,10,20,51,182,10,
60,10,20,19,42,187,10,
61,15,60,17,62,203,10,
62,45,65,9,37,124,10,
63,65,35,3,29,168,10,
64,65,20,6,39,190,10,
65,45,30,17,20,139,10,
66,35,40,16,11,150,10,
67,41,37,16,97,198,10,
68,64,42,9,31,138,10,
69,40,60,21,101,216,10,
70,31,52,27,9,139,10,
71,35,69,23,30,210,10,
72,65,55,14,30,129,10,
73,63,65,8,27,202,10,
74,2,60,5,46,137,10,
75,20,20,8,71,193,10,
76,5,5,16,57,165,10,
77,60,12,31,48,131,10,
78,23,3,7,49,180,10,
79,8,56,27,47,162,10,
80,6,68,30,65,142,10,
81,47,47,13,93,222,10,
82,49,58,10,78,123,10,
83,27,43,9,14,140,10,
84,37,31,14,19,172,10,
85,57,29,18,73,148,10,
86,63,23,2,59,144,10,
87,21,24,28,63,140,10,
88,12,24,13,91,118,10,
89,24,58,19,27,136,10,
90,67,5,25,52,177,10,
91,37,47,6,53,148,10,
92,49,42,13,89,217,10,
93,53,43,14,14,177,10,
94,61,52,3,50,208,10,
95,57,48,23,76,143,10,
96,56,37,6,20,159,10,
97,55,54,26,105,188,10,
98,4,18,35,104,165,10,
99,26,52,9,14,136,10,
100,26,35,15,42,141,10,
101,31,67,3,43,210,10,
