 CUSTNO ,XCOORD,YCOORD,DEMAND,READYTIME,DUETIME,SERVICETIME,CAPACITY
1,35,35,0,0,1000,0,1000
2,41,49,10,658,898,10,
3,35,17,7,93,333,10,
4,55,45,13,436,676,10,
5,55,20,19,620,860,10,
6,15,30,26,20,260,10,
7,25,30,3,345,585,10,
8,20,50,5,251,491,10,
9,10,43,9,323,563,10,
10,55,60,16,329,569,10,
11,30,60,16,485,725,10,
12,20,65,12,146,386,10,
13,50,35,19,167,407,10,
14,30,25,23,639,879,10,
15,15,10,20,32,272,10,
16,30,5,8,118,358,10,
17,10,20,19,203,443,10,
18,5,30,2,682,922,10,
19,20,40,12,286,526,10,
20,15,60,17,204,444,10,
21,45,65,9,504,744,10,
22,45,20,11,153,393,10,
23,45,10,18,332,572,10,
24,55,5,29,146,386,10,
25,65,35,3,656,896,10,
26,65,20,6,716,956,10,
27,45,30,17,508,748,10,
28,35,40,16,60,300,10,
29,41,37,16,65,305,10,
30,64,42,9,132,372,10,
31,40,60,21,187,427,10,
32,31,52,27,94,334,10,
33,35,69,23,599,839,10,
34,53,52,11,24,264,10,
35,65,55,14,452,692,10,
36,63,65,8,630,870,10,
37,2,60,5,41,281,10,
38,20,20,8,530,770,10,
39,5,5,16,234,474,10,
40,60,12,31,33,273,10,
41,40,25,9,279,519,10,
42,42,7,5,334,574,10,
43,24,12,5,25,265,10,
44,23,3,7,543,783,10,
45,11,14,18,167,407,10,
46,6,38,16,29,269,10,
47,2,48,1,452,692,10,
48,8,56,27,48,288,10,
49,13,52,36,720,960,10,
50,6,68,30,401,641,10,
51,47,47,13,475,715,10,
52,49,58,10,281,521,10,
53,27,43,9,117,357,10,
54,37,31,14,332,572,10,
55,57,29,18,568,808,10,
56,63,23,2,560,800,10,
57,53,12,6,519,759,10,
58,32,12,7,356,596,10,
59,36,26,18,740,980,10,
60,21,24,28,17,257,10,
61,17,34,3,672,912,10,
62,12,24,13,214,454,10,
63,24,58,19,113,353,10,
64,27,69,10,34,274,10,
65,15,77,9,154,394,10,
66,62,77,20,49,289,10,
67,49,73,25,523,763,10,
68,67,5,25,228,468,10,
69,56,39,36,575,815,10,
70,37,47,6,108,348,10,
71,37,56,5,728,968,10,
72,57,68,15,198,438,10,
73,47,16,25,22,262,10,
74,44,17,9,234,474,10,
75,46,13,8,622,862,10,
76,49,11,18,171,411,10,
77,49,42,13,212,452,10,
78,53,43,14,730,970,10,
79,61,52,3,322,562,10,
80,57,48,23,307,547,10,
81,56,37,6,728,968,10,
82,55,54,26,314,554,10,
83,15,47,16,106,346,10,
84,14,37,11,53,293,10,
85,11,31,7,354,594,10,
86,16,22,41,299,539,10,
87,4,18,35,307,547,10,
88,28,18,26,314,554,10,
89,26,52,9,214,454,10,
90,26,35,15,718,958,10,
91,31,67,3,320,560,10,
92,15,19,1,683,923,10,
93,22,22,2,18,258,10,
94,18,24,22,729,969,10,
95,26,27,27,350,590,10,
96,25,24,20,42,282,10,
97,22,27,11,529,769,10,
98,25,21,12,523,763,10,
99,19,21,10,125,365,10,
100,20,26,9,263,503,10,
101,18,18,17,725,965,10,
