 CUSTNO ,XCOORD,YCOORD,DEMAND,READYTIME,DUETIME,SERVICETIME,CAPACITY
1,40,50,0,0,1236,0,200
2,45,68,10,890,989,90,
3,45,70,30,816,879,90,
4,42,66,10,55,156,90,
5,42,68,10,703,806,90,
6,42,65,10,15,60,90,
7,40,69,20,559,764,90,
8,40,66,20,172,223,90,
9,38,68,20,250,329,90,
10,38,70,10,489,650,90,
11,35,66,10,361,406,90,
12,35,69,10,450,503,90,
13,25,85,20,647,726,90,
14,22,75,30,30,95,90,
15,22,85,10,571,616,90,
16,20,80,40,392,421,90,
17,20,85,40,478,525,90,
18,18,75,20,105,142,90,
19,15,75,20,172,261,90,
20,15,80,10,274,349,90,
21,30,50,10,10,77,90,
22,30,52,20,918,961,90,
23,28,52,20,806,889,90,
24,28,55,10,739,770,90,
25,25,50,10,55,154,90,
26,25,52,40,172,221,90,
27,25,55,10,612,711,90,
28,23,52,10,264,313,90,
29,23,55,20,553,586,90,
30,20,50,10,365,398,90,
31,20,55,10,452,501,90,
32,10,35,20,204,233,90,
33,10,40,30,31,189,90,
34,8,40,40,42,203,90,
35,8,45,20,715,852,90,
36,5,35,10,251,376,90,
37,5,45,10,648,733,90,
38,2,40,20,365,452,90,
39,0,40,30,474,527,90,
40,0,45,20,541,650,90,
41,35,30,10,240,345,90,
42,35,32,10,123,278,90,
43,33,32,20,19,225,90,
44,33,35,10,16,153,90,
45,32,30,10,338,433,90,
46,30,30,10,513,628,90,
47,30,32,30,415,542,90,
48,30,35,10,872,1127,90,
49,28,30,10,599,726,90,
50,28,35,10,917,1126,90,
51,26,32,10,779,916,90,
52,25,30,10,695,816,90,
53,25,35,10,857,1024,90,
54,44,5,20,221,412,90,
55,42,10,40,96,347,90,
56,42,15,10,35,233,90,
57,40,5,30,347,474,90,
58,40,15,40,35,172,90,
59,38,5,30,403,602,90,
60,38,15,10,521,870,90,
61,35,5,20,487,704,90,
62,50,30,10,422,719,90,
63,50,35,20,217,362,90,
64,50,40,50,142,247,90,
65,48,30,10,567,758,90,
66,48,40,10,34,171,90,
67,47,35,10,794,907,90,
68,47,40,10,12,226,90,
69,45,30,10,716,795,90,
70,45,35,10,873,1012,90,
71,95,30,30,266,577,90,
72,95,35,20,181,472,90,
73,53,30,10,402,553,90,
74,92,30,10,345,684,90,
75,53,35,50,294,471,90,
76,45,65,20,951,1114,90,
77,90,35,10,153,310,90,
78,88,30,10,450,767,90,
79,88,35,20,50,237,90,
80,87,30,10,567,832,90,
81,85,25,10,713,876,90,
82,85,35,30,47,331,90,
83,75,55,20,311,478,90,
84,72,55,10,127,476,90,
85,70,58,20,349,632,90,
86,68,60,30,476,691,90,
87,66,55,10,67,344,90,
88,65,55,20,25,256,90,
89,65,60,30,546,807,90,
90,63,58,10,630,909,90,
91,60,55,10,20,293,90,
92,60,60,10,769,956,90,
93,67,85,20,229,580,90,
94,65,85,40,442,551,90,
95,65,82,10,227,394,90,
96,62,80,30,163,272,90,
97,60,80,10,36,291,90,
98,60,85,30,469,714,90,
99,58,75,20,30,227,90,
100,55,80,10,595,968,90,
101,55,85,20,493,880,90,
