 CUSTNO ,XCOORD,YCOORD,DEMAND,READYTIME,DUETIME,SERVICETIME,CAPACITY
1,35,35,0,0,230,0,200
2,41,49,10,151,181,10,
3,35,17,7,40,70,10,
4,55,45,13,106,136,10,
5,55,20,19,139,169,10,
6,15,30,26,24,54,10,
7,25,30,3,89,119,10,
8,20,50,5,71,101,10,
9,10,43,9,85,115,10,
10,55,60,16,87,117,10,
11,30,60,16,114,144,10,
12,20,65,12,57,87,10,
13,50,35,19,53,83,10,
14,30,25,23,149,179,10,
15,15,10,20,32,62,10,
16,30,5,8,51,81,10,
17,10,20,19,65,95,10,
18,5,30,2,147,177,10,
19,20,40,12,77,107,10,
20,15,60,17,66,96,10,
21,45,65,9,116,146,10,
22,45,20,11,52,82,10,
23,45,10,18,87,117,10,
24,55,5,29,58,88,10,
25,65,35,3,143,173,10,
26,65,20,6,156,186,10,
27,45,30,17,122,152,10,
28,35,40,16,27,57,10,
29,41,37,16,29,59,10,
30,64,42,9,53,83,10,
31,40,60,21,61,91,10,
32,31,52,27,40,70,10,
33,35,69,23,131,161,10,
34,53,52,11,27,57,10,
35,65,55,14,107,137,10,
36,63,65,8,133,163,10,
37,2,60,5,41,71,10,
38,20,20,8,124,154,10,
39,5,5,16,73,103,10,
40,60,12,31,34,64,10,
41,40,25,9,75,105,10,
42,42,7,5,87,117,10,
43,24,12,5,25,55,10,
44,23,3,7,122,152,10,
45,11,14,18,59,89,10,
46,6,38,16,29,59,10,
47,2,48,1,107,137,10,
48,8,56,27,41,71,10,
49,13,52,36,155,185,10,
50,6,68,30,98,128,10,
51,47,47,13,114,144,10,
52,49,58,10,78,108,10,
53,27,43,9,42,72,10,
54,37,31,14,85,115,10,
55,57,29,18,130,160,10,
56,63,23,2,126,156,10,
57,53,12,6,120,150,10,
58,32,12,7,91,121,10,
59,36,26,18,180,210,10,
60,21,24,28,17,47,10,
61,17,34,3,152,182,10,
62,12,24,13,66,96,10,
63,24,58,19,48,78,10,
64,27,69,10,34,64,10,
65,15,77,9,63,93,10,
66,62,77,20,49,79,10,
67,49,73,25,117,147,10,
68,67,5,25,73,103,10,
69,56,39,36,132,162,10,
70,37,47,6,40,70,10,
71,37,56,5,168,198,10,
72,57,68,15,67,97,10,
73,47,16,25,25,55,10,
74,44,17,9,68,98,10,
75,46,13,8,139,169,10,
76,49,11,18,59,89,10,
77,49,42,13,63,93,10,
78,53,43,14,169,199,10,
79,61,52,3,86,116,10,
80,57,48,23,82,112,10,
81,56,37,6,168,198,10,
82,55,54,26,84,114,10,
83,15,47,16,45,75,10,
84,14,37,11,34,64,10,
85,11,31,7,91,121,10,
86,16,22,41,81,111,10,
87,4,18,35,84,114,10,
88,28,18,26,83,113,10,
89,26,52,9,64,94,10,
90,26,35,15,166,196,10,
91,31,67,3,85,115,10,
92,15,19,1,150,180,10,
93,22,22,2,18,48,10,
94,18,24,22,169,199,10,
95,26,27,27,90,120,10,
96,25,24,20,29,59,10,
97,22,27,11,125,155,10,
98,25,21,12,123,153,10,
99,19,21,10,48,78,10,
100,20,26,9,73,103,10,
101,18,18,17,165,195,10,
