 CUSTNO ,XCOORD,YCOORD,DEMAND,READYTIME,DUETIME,SERVICETIME,CAPACITY
1,35,35,0,0,1000,0,1000
2,41,49,10,451,974,10,
3,35,17,7,18,534,10,
4,55,45,13,378,733,10,
5,55,20,19,477,965,10,
6,15,30,26,20,610,10,
7,25,30,3,245,684,10,
8,20,50,5,172,569,10,
9,10,43,9,245,640,10,
10,55,60,16,231,666,10,
11,30,60,16,430,779,10,
12,20,65,12,33,511,10,
13,50,35,19,50,523,10,
14,30,25,23,462,978,10,
15,15,10,20,32,694,10,
16,30,5,8,30,519,10,
17,10,20,19,102,543,10,
18,5,30,2,444,959,10,
19,20,40,12,229,582,10,
20,15,60,17,95,552,10,
21,45,65,9,418,829,10,
22,45,20,11,36,509,10,
23,45,10,18,246,657,10,
24,55,5,29,36,514,10,
25,65,35,3,435,960,10,
26,65,20,6,438,956,10,
27,45,30,17,428,827,10,
28,35,40,16,5,548,10,
29,41,37,16,6,526,10,
30,64,42,9,29,513,10,
31,40,60,21,91,522,10,
32,31,52,27,17,501,10,
33,35,69,23,482,955,10,
34,53,52,11,24,575,10,
35,65,55,14,367,776,10,
36,63,65,8,453,948,10,
37,2,60,5,41,615,10,
38,20,20,8,443,856,10,
39,5,5,16,130,577,10,
40,60,12,31,33,655,10,
41,40,25,9,201,596,10,
42,42,7,5,219,688,10,
43,24,12,5,25,560,10,
44,23,3,7,458,867,10,
45,11,14,18,59,514,10,
46,6,38,16,29,589,10,
47,2,48,1,338,805,10,
48,8,56,27,34,602,10,
49,13,52,36,454,962,10,
50,6,68,30,362,679,10,
51,47,47,13,379,810,10,
52,49,58,10,176,625,10,
53,27,43,9,11,502,10,
54,37,31,14,256,647,10,
55,57,29,18,475,900,10,
56,63,23,2,441,918,10,
57,53,12,6,412,865,10,
58,32,12,7,246,705,10,
59,36,26,18,479,980,10,
60,21,24,28,17,681,10,
61,17,34,3,449,971,10,
62,12,24,13,126,541,10,
63,24,58,19,25,544,10,
64,27,69,10,34,588,10,
65,15,77,9,46,524,10,
66,62,77,20,49,568,10,
67,49,73,25,421,864,10,
68,67,5,25,120,575,10,
69,56,39,36,459,930,10,
70,37,47,6,12,513,10,
71,37,56,5,368,968,10,
72,57,68,15,98,537,10,
73,47,16,25,22,617,10,
74,44,17,9,143,564,10,
75,46,13,8,482,965,10,
76,49,11,18,62,519,10,
77,49,42,13,129,534,10,
78,53,43,14,460,970,10,
79,61,52,3,207,676,10,
80,57,48,23,230,623,10,
81,56,37,6,470,968,10,
82,55,54,26,268,599,10,
83,15,47,16,23,515,10,
84,14,37,11,21,568,10,
85,11,31,7,278,669,10,
86,16,22,41,213,624,10,
87,4,18,35,230,623,10,
88,28,18,26,287,580,10,
89,26,52,9,104,563,10,
90,26,35,15,409,981,10,
91,31,67,3,225,654,10,
92,15,19,1,469,964,10,
93,22,22,2,18,585,10,
94,18,24,22,414,969,10,
95,26,27,27,283,656,10,
96,25,24,20,14,533,10,
97,22,27,11,445,852,10,
98,25,21,12,462,823,10,
99,19,21,10,21,506,10,
100,20,26,9,164,601,10,
101,18,18,17,391,965,10,
