 CUSTNO ,XCOORD,YCOORD,DEMAND,READYTIME,DUETIME,SERVICETIME,CAPACITY
1,35,35,0,0,1000,0,1000
2,41,49,10,190,974,10,
3,35,17,7,18,792,10,
4,55,45,13,289,822,10,
5,55,20,19,679,800,10,
6,15,30,26,20,906,10,
7,25,30,3,355,574,10,
8,20,50,5,72,669,10,
9,10,43,9,393,492,10,
10,55,60,16,394,503,10,
11,30,60,16,517,692,10,
12,20,65,12,206,325,10,
13,50,35,19,15,725,10,
14,30,25,23,694,823,10,
15,15,10,20,32,694,10,
16,30,5,8,176,299,10,
17,10,20,19,102,543,10,
18,5,30,2,673,930,10,
19,20,40,12,229,582,10,
20,15,60,17,95,552,10,
21,45,65,9,418,829,10,
22,45,20,11,18,727,10,
23,45,10,18,349,554,10,
24,55,5,29,206,325,10,
25,65,35,3,435,960,10,
26,65,20,6,826,956,10,
27,45,30,17,328,927,10,
28,35,40,16,44,315,10,
29,41,37,16,6,526,10,
30,64,42,9,29,513,10,
31,40,60,21,199,414,10,
32,31,52,27,17,744,10,
33,35,69,23,482,955,10,
34,53,52,11,24,299,10,
35,65,55,14,265,878,10,
36,63,65,8,626,873,10,
37,2,60,5,41,328,10,
38,20,20,8,339,960,10,
39,5,5,16,298,409,10,
40,60,12,31,33,344,10,
41,40,25,9,300,497,10,
42,42,7,5,336,571,10,
43,24,12,5,25,292,10,
44,23,3,7,458,867,10,
45,11,14,18,230,343,10,
46,6,38,16,29,309,10,
47,2,48,1,338,805,10,
48,8,56,27,34,602,10,
49,13,52,36,200,962,10,
50,6,68,30,441,600,10,
51,47,47,13,272,917,10,
52,49,58,10,176,625,10,
53,27,43,9,11,748,10,
54,37,31,14,403,500,10,
55,57,29,18,475,900,10,
56,63,23,2,620,739,10,
57,53,12,6,525,752,10,
58,32,12,7,246,705,10,
59,36,26,18,854,980,10,
60,21,24,28,17,972,10,
61,17,34,3,449,971,10,
62,12,24,13,126,541,10,
63,24,58,19,168,297,10,
64,27,69,10,34,588,10,
65,15,77,9,154,393,10,
66,62,77,20,49,308,10,
67,49,73,25,532,753,10,
68,67,5,25,291,404,10,
69,56,39,36,577,812,10,
70,37,47,6,165,290,10,
71,37,56,5,668,968,10,
72,57,68,15,98,537,10,
73,47,16,25,22,915,10,
74,44,17,9,143,564,10,
75,46,13,8,681,802,10,
76,49,11,18,27,711,10,
77,49,42,13,281,382,10,
78,53,43,14,821,948,10,
79,61,52,3,324,559,10,
80,57,48,23,377,476,10,
81,56,37,6,719,968,10,
82,55,54,26,268,599,10,
83,15,47,16,23,761,10,
84,14,37,11,21,842,10,
85,11,31,7,425,522,10,
86,16,22,41,110,727,10,
87,4,18,35,230,623,10,
88,28,18,26,397,470,10,
89,26,52,9,219,448,10,
90,26,35,15,409,981,10,
91,31,67,3,225,654,10,
92,15,19,1,222,964,10,
93,22,22,2,18,159,10,
94,18,24,22,691,969,10,
95,26,27,27,190,749,10,
96,25,24,20,14,793,10,
97,22,27,11,344,953,10,
98,25,21,12,462,823,10,
99,19,21,10,21,748,10,
100,20,26,9,328,437,10,
101,18,18,17,821,965,10,
