 CUSTNO ,XCOORD,YCOORD,DEMAND,READYTIME,DUETIME,SERVICETIME,CAPACITY
1,35,35,0,0,230,0,200
2,41,49,10,0,204,10,
3,35,17,7,0,202,10,
4,55,45,13,0,197,10,
5,55,20,19,149,159,10,
6,15,30,26,0,199,10,
7,25,30,3,99,109,10,
8,20,50,5,0,198,10,
9,10,43,9,95,105,10,
10,55,60,16,97,107,10,
11,30,60,16,124,134,10,
12,20,65,12,67,77,10,
13,50,35,19,0,205,10,
14,30,25,23,159,169,10,
15,15,10,20,0,187,10,
16,30,5,8,61,71,10,
17,10,20,19,0,190,10,
18,5,30,2,157,167,10,
19,20,40,12,0,204,10,
20,15,60,17,0,187,10,
21,45,65,9,0,188,10,
22,45,20,11,0,201,10,
23,45,10,18,97,107,10,
24,55,5,29,68,78,10,
25,65,35,3,0,190,10,
26,65,20,6,172,182,10,
27,45,30,17,0,208,10,
28,35,40,16,37,47,10,
29,41,37,16,0,213,10,
30,64,42,9,0,190,10,
31,40,60,21,71,81,10,
32,31,52,27,0,202,10,
33,35,69,23,0,186,10,
34,53,52,11,37,47,10,
35,65,55,14,0,183,10,
36,63,65,8,143,153,10,
37,2,60,5,41,51,10,
38,20,20,8,0,198,10,
39,5,5,16,83,93,10,
40,60,12,31,44,54,10,
41,40,25,9,85,95,10,
42,42,7,5,97,107,10,
43,24,12,5,31,41,10,
44,23,3,7,0,185,10,
45,11,14,18,69,79,10,
46,6,38,16,32,42,10,
47,2,48,1,0,184,10,
48,8,56,27,0,185,10,
49,13,52,36,0,192,10,
50,6,68,30,108,118,10,
51,47,47,13,0,203,10,
52,49,58,10,0,193,10,
53,27,43,9,0,208,10,
54,37,31,14,95,105,10,
55,57,29,18,0,197,10,
56,63,23,2,136,146,10,
57,53,12,6,130,140,10,
58,32,12,7,0,196,10,
59,36,26,18,200,210,10,
60,21,24,28,0,202,10,
61,17,34,3,0,201,10,
62,12,24,13,0,194,10,
63,24,58,19,58,68,10,
64,27,69,10,0,185,10,
65,15,77,9,73,83,10,
66,62,77,20,51,61,10,
67,49,73,25,127,137,10,
68,67,5,25,83,93,10,
69,56,39,36,142,152,10,
70,37,47,6,50,60,10,
71,37,56,5,182,192,10,
72,57,68,15,0,180,10,
73,47,16,25,0,197,10,
74,44,17,9,0,199,10,
75,46,13,8,149,159,10,
76,49,11,18,0,192,10,
77,49,42,13,73,83,10,
78,53,43,14,179,189,10,
79,61,52,3,96,106,10,
80,57,48,23,92,102,10,
81,56,37,6,182,192,10,
82,55,54,26,0,192,10,
83,15,47,16,0,196,10,
84,14,37,11,0,198,10,
85,11,31,7,101,111,10,
86,16,22,41,0,196,10,
87,4,18,35,0,184,10,
88,28,18,26,93,103,10,
89,26,52,9,74,84,10,
90,26,35,15,0,211,10,
91,31,67,3,0,187,10,
92,15,19,1,0,194,10,
93,22,22,2,18,28,10,
94,18,24,22,188,198,10,
95,26,27,27,0,207,10,
96,25,24,20,0,205,10,
97,22,27,11,0,204,10,
98,25,21,12,0,202,10,
99,19,21,10,0,198,10,
100,20,26,9,83,93,10,
101,18,18,17,185,195,10,
