 CUSTNO ,XCOORD,YCOORD,DEMAND,READYTIME,DUETIME,SERVICETIME,CAPACITY
1,35,35,0,0,1000,0,1000
2,41,49,10,0,974,10,
3,35,17,7,0,972,10,
4,55,45,13,0,967,10,
5,55,20,19,678,801,10,
6,15,30,26,0,969,10,
7,25,30,3,0,978,10,
8,20,50,5,0,968,10,
9,10,43,9,404,481,10,
10,55,60,16,400,497,10,
11,30,60,16,0,964,10,
12,20,65,12,206,325,10,
13,50,35,19,0,975,10,
14,30,25,23,690,827,10,
15,15,10,20,0,957,10,
16,30,5,8,175,300,10,
17,10,20,19,0,960,10,
18,5,30,2,0,959,10,
19,20,40,12,0,974,10,
20,15,60,17,0,957,10,
21,45,65,9,0,958,10,
22,45,20,11,0,971,10,
23,45,10,18,0,963,10,
24,55,5,29,206,325,10,
25,65,35,3,0,960,10,
26,65,20,6,817,956,10,
27,45,30,17,0,978,10,
28,35,40,16,0,985,10,
29,41,37,16,0,983,10,
30,64,42,9,0,960,10,
31,40,60,21,0,964,10,
32,31,52,27,0,972,10,
33,35,69,23,0,956,10,
34,53,52,11,0,965,10,
35,65,55,14,0,953,10,
36,63,65,8,0,948,10,
37,2,60,5,0,948,10,
38,20,20,8,0,968,10,
39,5,5,16,302,405,10,
40,60,12,31,0,956,10,
41,40,25,9,0,978,10,
42,42,7,5,0,961,10,
43,24,12,5,0,964,10,
44,23,3,7,0,955,10,
45,11,14,18,233,340,10,
46,6,38,16,0,960,10,
47,2,48,1,0,954,10,
48,8,56,27,0,955,10,
49,13,52,36,0,962,10,
50,6,68,30,0,946,10,
51,47,47,13,0,973,10,
52,49,58,10,0,963,10,
53,27,43,9,0,978,10,
54,37,31,14,414,489,10,
55,57,29,18,0,967,10,
56,63,23,2,620,739,10,
57,53,12,6,0,960,10,
58,32,12,7,0,966,10,
59,36,26,18,849,980,10,
60,21,24,28,0,972,10,
61,17,34,3,0,971,10,
62,12,24,13,0,964,10,
63,24,58,19,163,302,10,
64,27,69,10,0,955,10,
65,15,77,9,0,943,10,
66,62,77,20,0,940,10,
67,49,73,25,0,949,10,
68,67,5,25,294,401,10,
69,56,39,36,0,968,10,
70,37,47,6,162,293,10,
71,37,56,5,0,968,10,
72,57,68,15,0,950,10,
73,47,16,25,0,967,10,
74,44,17,9,0,969,10,
75,46,13,8,681,802,10,
76,49,11,18,0,962,10,
77,49,42,13,290,373,10,
78,53,43,14,817,952,10,
79,61,52,3,0,958,10,
80,57,48,23,388,465,10,
81,56,37,6,0,968,10,
82,55,54,26,0,962,10,
83,15,47,16,0,966,10,
84,14,37,11,0,968,10,
85,11,31,7,436,511,10,
86,16,22,41,0,966,10,
87,4,18,35,0,954,10,
88,28,18,26,420,447,10,
89,26,52,9,0,970,10,
90,26,35,15,0,981,10,
91,31,67,3,0,957,10,
92,15,19,1,0,964,10,
93,22,22,2,18,181,10,
94,18,24,22,0,969,10,
95,26,27,27,0,977,10,
96,25,24,20,0,975,10,
97,22,27,11,0,974,10,
98,25,21,12,0,972,10,
99,19,21,10,0,968,10,
100,20,26,9,333,432,10,
101,18,18,17,798,965,10,
