 CUSTNO ,XCOORD,YCOORD,DEMAND,READYTIME,DUETIME,SERVICETIME,CAPACITY
1,40,50,0,0,960,0,1000
2,25,85,20,388,911,10,
3,22,75,30,30,546,10,
4,22,85,10,353,708,10,
5,20,80,40,425,913,10,
6,20,85,20,40,630,10,
7,18,75,20,228,667,10,
8,15,75,20,161,558,10,
9,15,80,10,229,624,10,
10,10,35,20,213,648,10,
11,10,40,30,404,753,10,
12,8,40,40,33,511,10,
13,8,45,20,46,519,10,
14,5,35,10,395,911,10,
15,5,45,10,35,697,10,
16,2,40,20,39,528,10,
17,0,40,20,94,535,10,
18,0,45,20,394,909,10,
19,44,5,20,218,571,10,
20,42,10,40,85,542,10,
21,42,15,10,391,802,10,
22,40,5,10,45,517,10,
23,40,15,40,229,640,10,
24,38,5,30,45,523,10,
25,38,15,10,389,914,10,
26,35,5,20,386,904,10,
27,95,30,30,389,788,10,
28,95,35,20,57,600,10,
29,92,30,10,55,575,10,
30,90,35,10,52,536,10,
31,88,30,10,90,521,10,
32,88,35,20,50,534,10,
33,87,30,10,425,898,10,
34,85,25,10,51,602,10,
35,85,35,30,342,751,10,
36,67,85,20,410,905,10,
37,65,85,40,43,617,10,
38,65,82,10,410,823,10,
39,62,80,30,114,561,10,
40,60,80,10,36,658,10,
41,60,85,30,191,586,10,
42,58,75,20,201,670,10,
43,55,80,10,33,568,10,
44,55,85,20,429,838,10,
45,55,82,10,49,504,10,
46,20,82,10,37,597,10,
47,18,80,10,315,782,10,
48,2,45,10,38,606,10,
49,42,5,10,396,904,10,
50,42,12,10,341,658,10,
51,72,35,30,351,782,10,
52,55,20,19,161,610,10,
53,25,30,3,25,516,10,
54,20,50,5,239,630,10,
55,55,60,16,448,873,10,
56,30,60,16,420,897,10,
57,50,35,19,390,843,10,
58,30,25,23,227,686,10,
59,15,10,20,401,902,10,
60,10,20,19,42,706,10,
61,15,60,17,401,923,10,
62,45,65,9,110,525,10,
63,65,35,3,29,548,10,
64,65,20,6,39,593,10,
65,45,30,17,20,498,10,
66,35,40,16,11,530,10,
67,41,37,16,404,847,10,
68,64,42,9,100,555,10,
69,40,60,21,436,907,10,
70,31,52,27,9,510,10,
71,35,69,23,330,930,10,
72,65,55,14,81,520,10,
73,63,65,8,27,622,10,
74,2,60,5,135,556,10,
75,20,20,8,430,913,10,
76,5,5,16,63,520,10,
77,60,12,31,125,530,10,
78,23,3,7,390,900,10,
79,8,56,27,190,659,10,
80,6,68,30,215,608,10,
81,47,47,13,444,942,10,
82,49,58,10,249,580,10,
83,27,43,9,14,506,10,
84,37,31,14,19,566,10,
85,57,29,18,259,650,10,
86,63,23,2,198,609,10,
87,21,24,28,212,605,10,
88,12,24,13,272,565,10,
89,24,58,19,90,549,10,
90,67,5,25,325,897,10,
91,37,47,6,204,633,10,
92,49,42,13,442,937,10,
93,53,43,14,14,581,10,
94,61,52,3,373,928,10,
95,57,48,23,265,638,10,
96,56,37,6,20,539,10,
97,55,54,26,418,825,10,
98,4,18,35,426,787,10,
99,26,52,9,14,499,10,
100,26,35,15,149,586,10,
101,31,67,3,356,930,10,
