 CUSTNO ,XCOORD,YCOORD,DEMAND,READYTIME,DUETIME,SERVICETIME,CAPACITY
1,40,50,0,0,3390,0,700
2,52,75,10,231,551,90,
3,45,70,30,133,453,90,
4,62,69,10,1087,1407,90,
5,60,66,10,1181,1501,90,
6,42,65,10,15,335,90,
7,16,42,20,417,737,90,
8,58,70,20,993,1313,90,
9,34,60,20,2807,3127,90,
10,28,70,10,2521,2841,90,
11,35,66,10,2711,3031,90,
12,35,69,10,2618,2938,90,
13,25,85,20,2039,2359,90,
14,22,75,30,2325,2645,90,
15,22,85,10,1946,2266,90,
16,20,80,40,2136,2456,90,
17,20,85,40,1854,2174,90,
18,18,75,20,2231,2551,90,
19,15,75,20,1662,1982,90,
20,15,80,10,1757,2077,90,
21,30,50,10,10,330,90,
22,30,56,20,2903,3223,90,
23,28,52,20,12,332,90,
24,14,66,10,1563,1883,90,
25,25,50,10,36,356,90,
26,22,66,40,2424,2744,90,
27,8,62,10,1465,1785,90,
28,23,52,10,129,449,90,
29,4,55,20,1367,1687,90,
30,20,50,10,318,638,90,
31,20,55,10,223,543,90,
32,10,35,20,701,1021,90,
33,10,40,30,513,833,90,
34,8,40,40,605,925,90,
35,8,45,20,1266,1586,90,
36,5,35,10,796,1116,90,
37,5,45,10,1173,1493,90,
38,2,40,20,891,1211,90,
39,0,40,30,983,1303,90,
40,0,45,20,1078,1398,90,
41,36,18,10,1739,2059,90,
42,35,32,10,2678,2998,90,
43,33,32,20,2586,2906,90,
44,33,35,10,2493,2813,90,
45,32,20,10,1833,2153,90,
46,30,30,10,2025,2345,90,
47,34,25,30,1929,2249,90,
48,30,35,10,2400,2720,90,
49,36,40,10,2776,3096,90,
50,48,20,10,887,1207,90,
51,26,32,10,2212,2532,90,
52,25,30,10,2120,2440,90,
53,25,35,10,2305,2625,90,
54,44,5,20,1176,1496,90,
55,42,10,40,1080,1400,90,
56,42,15,10,985,1305,90,
57,40,5,30,1270,1590,90,
58,38,15,40,1645,1965,90,
59,38,5,30,1362,1682,90,
60,38,10,10,1550,1870,90,
61,35,5,20,1455,1775,90,
62,50,30,10,321,641,90,
63,50,35,20,40,360,90,
64,50,40,50,14,334,90,
65,48,30,10,413,733,90,
66,44,25,10,791,1111,90,
67,47,35,10,508,828,90,
68,47,40,10,12,332,90,
69,42,30,10,696,1016,90,
70,45,35,10,600,920,90,
71,95,30,30,2241,2561,90,
72,95,35,20,2146,2466,90,
73,53,30,10,228,548,90,
74,92,30,10,2334,2654,90,
75,53,35,50,133,453,90,
76,45,65,20,38,358,90,
77,90,35,10,2051,2371,90,
78,72,45,10,2820,3140,90,
79,78,40,20,2722,3042,90,
80,87,30,10,2528,2848,90,
81,85,25,10,2433,2753,90,
82,85,35,30,2623,2943,90,
83,75,55,20,1845,2165,90,
84,72,55,10,1752,2072,90,
85,70,58,20,1561,1881,90,
86,86,46,30,1949,2269,90,
87,66,55,10,1656,1976,90,
88,64,46,20,2955,3275,90,
89,65,60,30,1466,1786,90,
90,56,64,10,1275,1595,90,
91,60,55,10,2959,3279,90,
92,60,60,10,1371,1691,90,
93,67,85,20,614,934,90,
94,42,58,40,8,328,90,
95,65,82,10,708,1028,90,
96,62,80,30,801,1121,90,
97,62,40,10,2921,3241,90,
98,60,85,30,517,837,90,
99,58,75,20,898,1218,90,
100,55,80,10,327,647,90,
101,55,85,20,422,742,90,
